Année;Département;Matière;IPS moyen;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
2023;ALPES-MARITIMES;Mathématiques;107.8;252.1;50.3;12.6;18.3;21.8;19.0;12.7;15.5
2023;ARDECHE;Mathématiques;104.2;251.6;47.2;10.8;18.8;22.3;19.8;14.3;13.9
2023;CALVADOS;Mathématiques;107.6;252.4;46.4;11.2;18.7;22.0;20.1;13.0;14.9
2023;COTE D'OR;Mathématiques;109.3;256.7;48.6;10.4;16.6;21.0;19.9;15.1;17.1
2023;DORDOGNE;Mathématiques;101.1;247.7;44.9;12.3;20.0;23.5;19.9;12.4;12.0
2023;LOIR-ET-CHER;Mathématiques;101.3;251.0;47.6;12.3;19.5;21.8;18.6;13.2;14.6
2023;LOT-ET-GARONNE;Mathématiques;98.5;244.6;45.2;14.6;21.2;23.3;18.4;11.7;10.7
2023;MARTINIQUE;Mathématiques;101.3;225.9;44.2;28.5;26.4;20.1;11.6;7.2;6.2
2023;MEUSE;Mathématiques;96.6;247.4;44.4;12.4;21.5;23.7;17.6;12.3;12.5
2023;NORD;Mathématiques;100.8;247.2;48.6;14.9;20.7;22.1;17.1;11.3;13.8
2023;OISE;Mathématiques;103.7;244.6;45.1;14.0;22.7;24.2;16.9;10.4;11.8
2023;PARIS;Mathématiques;128.2;272.3;59.2;9.2;12.9;16.6;17.0;14.8;29.5
2023;SOMME;Mathématiques;98.9;243.6;45.5;15.4;22.8;22.3;17.6;10.3;11.7
2023;VAL-DE-MARNE;Mathématiques;110.5;249.2;52.4;15.5;19.9;20.7;16.8;11.4;15.8
2023;AIN;Français;109.3;253.9;47.9;12.2;15.8;21.5;19.6;14.2;16.6
2023;ARDENNES;Français;94.5;244.5;45.9;16.6;18.3;22.8;18.3;12.4;11.7
2023;AVEYRON;Français;105.3;255.9;47.4;11.2;15.4;21.2;19.6;15.0;17.6
2023;BOUCHES-DU-RHONE;Français;106.1;248.8;50.2;16.2;17.4;20.5;17.4;12.9;15.5
2023;CANTAL;Français;103.9;247.7;42.0;11.8;18.3;23.4;22.6;13.8;10.1
2023;CREUSE;Français;102.4;244.5;50.5;16.8;18.1;22.0;17.3;12.3;13.5
2023;DORDOGNE;Français;101.1;249.6;46.2;13.3;17.9;21.7;20.4;12.4;14.3
2023;FINISTERE;Français;110.7;256.6;46.2;10.0;15.1;21.0;21.3;15.3;17.2
2023;HAUTE SAVOIE;Français;111.4;258.4;49.6;10.6;14.8;19.2;20.3;15.6;19.4
2023;HERAULT;Français;107.6;249.4;49.6;15.4;17.0;20.9;18.6;12.9;15.1
2023;JURA;Français;101.3;249.2;45.3;13.2;16.9;24.3;19.0;13.9;12.6
2023;LANDES;Français;105.2;251.3;46.5;12.5;17.7;21.5;19.6;13.5;15.2
2023;LOIRE-ATLANTIQUE;Français;115.1;258.2;49.6;11.2;14.5;19.8;19.6;15.4;19.4
2023;MAINE-ET-LOIRE;Français;107.2;252.8;47.1;11.8;16.7;21.8;19.7;14.2;15.8
2023;MORBIHAN;Français;108.6;254.6;44.5;9.4;16.8;22.3;20.9;15.7;14.9
2023;OISE;Français;103.7;249.0;46.8;14.0;18.1;21.7;19.2;13.2;13.8
2023;ORNE;Français;98.6;242.8;46.1;17.5;19.5;22.6;17.2;12.2;11.0
2023;PARIS;Français;128.2;276.1;56.9;8.7;10.8;14.4;16.5;16.3;33.3
2023;SEINE-SAINT-DENIS;Français;92.8;234.9;47.8;24.0;21.6;20.1;14.8;9.7;9.7
2023;ST-PIERRE-ET-MIQUELON;Français;112.0;254.0;48.3;16.4;10.4;20.9;13.4;20.9;17.9
2023;TARN-ET-GARONNE;Français;100.5;244.9;46.9;17.3;18.9;20.7;17.7;12.9;12.5
2023;VAL-D'OISE;Français;104.0;242.9;49.6;19.4;18.6;20.1;17.1;12.1;12.7
2023;VAL-DE-MARNE;Français;110.5;253.0;52.1;14.9;16.8;19.4;17.0;13.5;18.3
2023;ANDORRE;Mathématiques;;253.3;45.5;9.3;19.4;24.1;20.3;13.9;13.1
2023;ARIEGE;Mathématiques;103.5;246.9;45.5;13.9;20.4;22.2;19.7;11.3;12.6
2023;AVEYRON;Mathématiques;105.3;259.2;46.6;7.8;15.9;22.2;20.4;15.5;18.2
2023;CHARENTE-MARITIME;Mathématiques;107.0;250.7;46.4;11.7;18.5;23.2;19.9;12.7;14.0
2023;CORREZE;Mathématiques;104.2;250.4;47.0;11.2;19.7;23.9;18.5;12.7;14.0
2023;COTES D'ARMOR;Mathématiques;106.8;253.9;45.4;9.3;18.0;23.0;21.3;13.7;14.8
2023;CREUSE;Mathématiques;102.4;243.6;43.5;13.9;22.4;23.2;19.0;11.1;10.3
2023;GIRONDE;Mathématiques;112.7;256.8;50.7;11.1;16.6;20.8;19.0;14.2;18.2
2023;GUYANE;Mathématiques;81.9;196.1;37.7;61.8;20.1;10.0;4.4;2.2;1.5
2023;HAUTE-CORSE;Mathématiques;100.9;244.6;43.7;12.6;23.0;23.1;21.2;9.4;10.7
2023;HAUTES-PYRENEES;Mathématiques;104.7;252.8;46.2;10.2;19.2;21.6;20.1;15.1;13.9
2023;LOT;Mathématiques;105.6;259.2;48.5;8.5;16.3;21.4;20.6;15.2;18.1
2023;MARNE;Mathématiques;102.4;248.1;46.4;13.6;19.4;22.9;19.0;12.6;12.5
2023;MAYOTTE;Mathématiques;70.0;183.7;30.2;76.8;15.9;4.9;1.5;0.6;0.3
2023;MORBIHAN;Mathématiques;108.6;254.6;44.3;8.6;17.0;23.5;22.1;14.3;14.4
2023;PAS-DE-CALAIS;Mathématiques;95.2;243.1;44.7;14.7;23.1;23.6;17.5;10.4;10.6
2023;PUY-DE-DOME;Mathématiques;107.5;258.0;50.3;10.4;16.4;21.4;18.9;14.2;18.7
2023;SAVOIE;Mathématiques;111.5;259.9;49.9;8.6;16.1;21.3;19.8;15.1;19.1
2023;TARN;Mathématiques;105.9;252.8;47.5;10.5;19.0;22.6;19.6;13.2;15.1
2023;TERRITOIRE DE BELFORT;Mathématiques;102.4;254.1;49.7;11.3;18.0;23.1;17.2;14.4;16.0
2023;VAR;Mathématiques;104.2;248.4;47.9;13.1;19.7;23.0;18.5;12.3;13.3
2023;VIENNE;Mathématiques;107.0;249.5;48.0;12.9;19.7;22.8;18.8;11.7;14.0
2023;ALPES-MARITIMES;Français;107.8;251.8;50.1;14.3;17.0;20.1;18.4;13.5;16.7
2023;ANDORRE;Français;;236.1;46.0;18.5;26.4;21.6;15.0;10.6;7.9
2023;AUBE;Français;97.5;245.6;48.3;16.8;18.8;20.8;18.0;12.4;13.2
2023;AUDE;Français;99.9;244.7;45.9;16.6;19.2;21.4;17.6;12.8;12.3
2023;CALVADOS;Français;107.6;251.4;48.6;14.2;16.6;21.3;18.1;13.8;15.9
2023;CHER;Français;99.0;247.4;47.1;15.2;18.5;21.4;18.5;13.3;13.0
2023;EURE;Français;101.5;240.0;45.9;18.7;21.0;22.1;17.6;10.6;10.0
2023;GARD;Français;103.2;245.0;47.0;16.5;18.8;21.0;19.0;12.5;12.2
2023;HAUTE-GARONNE;Français;116.4;260.2;52.3;11.8;14.3;18.5;18.4;14.9;22.2
2023;HAUTS-DE-SEINE;Français;126.9;266.7;56.9;11.7;12.5;15.7;17.2;15.8;27.1
2023;INDRE-ET-LOIRE;Français;109.1;255.9;49.3;11.4;16.0;20.8;19.6;14.5;17.7
2023;ISERE;Français;111.3;254.7;50.1;13.4;15.8;19.6;18.8;14.2;18.2
2023;LOIRE;Français;101.9;249.4;47.8;14.5;17.9;21.1;18.6;13.9;14.0
2023;LOZERE;Français;107.5;252.9;50.2;14.8;15.3;20.0;19.2;13.3;17.4
2023;MANCHE;Français;102.8;248.9;45.8;13.0;19.3;21.7;18.9;13.7;13.4
2023;MOSELLE;Français;99.6;252.2;48.0;13.1;16.6;20.8;19.9;14.2;15.5
2023;TARN;Français;105.9;248.7;47.8;15.0;16.6;21.7;19.0;13.5;14.1
2023;AISNE;Mathématiques;93.8;237.9;43.8;18.0;24.2;23.4;16.1;9.3;9.1
2023;AUBE;Mathématiques;97.5;245.8;47.2;14.8;21.2;22.3;18.1;10.6;13.0
2023;BAS-RHIN;Mathématiques;104.7;258.3;50.8;10.4;16.5;20.9;18.6;14.5;19.1
2023;CANTAL;Mathématiques;103.9;256.1;47.1;9.5;16.8;22.7;20.8;13.2;17.1
2023;CHARENTE;Mathématiques;102.6;246.7;45.8;13.5;20.2;23.4;18.7;12.2;11.9
2023;DROME;Mathématiques;105.5;251.8;47.2;11.7;18.6;21.9;20.0;12.8;15.0
2023;GERS;Mathématiques;108.9;257.5;51.7;10.5;17.5;21.0;19.6;13.2;18.2
2023;HAUTE-GARONNE;Mathématiques;116.4;262.7;53.7;10.1;15.1;19.1;18.3;15.1;22.2
2023;HAUTE-LOIRE;Mathématiques;104.9;257.5;45.2;7.6;16.2;22.9;22.3;15.1;16.0
2023;HAUTE-MARNE;Mathématiques;94.3;246.0;43.9;13.2;20.9;25.3;17.6;11.3;11.7
2023;HAUTE-SAONE;Mathématiques;99.3;252.9;48.4;11.7;18.4;21.8;19.0;13.2;16.0
2023;HAUTES-ALPES;Mathématiques;109.6;259.4;47.7;8.3;16.3;20.3;22.6;14.6;17.9
2023;HAUTS-DE-SEINE;Mathématiques;126.9;265.1;57.9;11.3;14.8;17.3;16.5;14.5;25.6
2023;ILLE-ET-VILAINE;Mathématiques;113.5;262.2;49.4;8.4;14.7;20.2;20.5;15.1;21.0
2023;INDRE-ET-LOIRE;Mathématiques;109.1;255.9;49.1;10.4;17.5;21.7;19.6;13.8;17.0
2023;LOIRET;Mathématiques;102.0;246.1;45.7;13.9;20.9;23.6;17.4;12.2;12.0
2023;LOZERE;Mathématiques;107.5;254.7;47.9;10.9;16.4;21.8;19.2;15.7;16.0
2023;MANCHE;Mathématiques;102.8;252.3;45.7;10.4;18.7;23.1;20.1;13.7;14.0
2023;MAYENNE;Mathématiques;102.5;255.7;47.4;9.3;17.4;22.3;20.0;14.3;16.6
2023;NIEVRE;Mathématiques;100.8;246.8;46.0;13.8;20.1;23.6;19.0;12.2;11.3
2023;PYRENEES-ATLANTIQUES;Mathématiques;112.0;260.3;47.1;8.3;14.7;20.9;22.0;15.6;18.6
2023;RHONE;Mathématiques;112.7;256.6;53.3;12.6;17.0;19.6;17.9;13.7;19.3
2023;SAINT-MARTIN;Mathématiques;;195.5;42.2;65.4;17.8;7.2;3.6;3.8;2.1
2023;SAONE-ET-LOIRE;Mathématiques;101.8;249.3;47.1;12.1;20.0;22.9;19.5;11.7;13.8
2023;SEINE MARITIME;Mathématiques;102.2;247.1;47.1;14.2;21.4;21.9;17.5;11.9;13.0
2023;SEINE-ET-MARNE;Mathématiques;107.7;245.7;46.2;13.9;21.4;23.5;18.2;11.4;11.7
2023;YONNE;Mathématiques;100.2;242.5;45.5;15.8;22.7;23.0;16.5;10.9;11.0
2023;YVELINES;Mathématiques;122.7;261.9;56.9;11.4;16.1;18.7;17.2;13.8;22.8
2023;ARIEGE;Français;103.5;246.2;46.6;16.1;17.7;22.2;18.3;13.2;12.4
2023;CHARENTE;Français;102.6;245.7;46.8;15.5;19.6;21.9;17.5;12.5;13.1
2023;CORREZE;Français;104.2;252.6;48.8;13.0;16.8;20.5;19.7;13.2;16.8
2023;COTE D'OR;Français;109.3;254.1;48.3;12.1;17.0;20.7;18.5;14.4;17.4
2023;DEUX-SEVRES;Français;105.2;249.9;45.7;12.2;18.3;23.3;18.7;13.9;13.7
2023;GIRONDE;Français;112.7;258.0;51.0;12.0;15.1;19.1;18.7;15.0;20.2
2023;HAUT-RHIN;Français;100.2;249.2;47.8;14.4;17.5;21.5;19.1;13.0;14.5
2023;HAUTE-SAONE;Français;99.3;245.9;47.0;15.7;19.4;21.5;17.8;13.0;12.7
2023;HAUTES-ALPES;Français;109.6;260.4;49.1;10.1;13.5;18.6;21.2;17.1;19.5
2023;ILLE-ET-VILAINE;Français;113.5;261.1;49.2;9.6;13.8;19.4;19.7;16.6;20.8
2023;INDRE;Français;96.0;245.7;47.1;15.1;19.0;23.1;19.1;11.6;12.1
2023;LOIR-ET-CHER;Français;101.3;249.7;47.7;14.4;16.8;21.8;19.5;13.2;14.4
2023;PAS-DE-CALAIS;Français;95.2;240.6;45.1;17.9;20.9;22.7;17.4;11.1;10.0
2023;POLYNESIE FRANCAISE;Français;88.8;222.4;44.6;33.8;23.1;20.1;10.5;6.7;5.8
2023;PYRENEES-ORIENTALES;Français;99.2;243.8;46.8;16.8;19.3;21.0;19.4;11.9;11.6
2023;RHONE;Français;112.7;256.4;52.6;13.7;15.1;18.4;18.2;14.9;19.6
2023;SAVOIE;Français;111.5;255.9;48.7;11.8;15.4;19.8;20.0;15.5;17.5
2023;SOMME;Français;98.9;244.1;47.6;17.6;19.5;21.1;17.6;11.7;12.6
2023;VAR;Français;104.2;250.5;47.5;13.2;17.2;22.0;19.4;13.9;14.4
2023;VAUCLUSE;Français;99.9;245.7;46.8;15.7;18.9;22.7;18.0;12.4;12.4
2023;VENDEE;Français;105.3;253.7;45.5;10.8;15.8;22.6;20.7;14.4;15.6
2023;YVELINES;Français;122.7;263.4;54.4;11.3;14.0;17.4;18.0;14.8;24.4
2023;AIN;Mathématiques;109.3;256.8;49.1;9.7;17.5;21.7;19.6;13.9;17.6
2023;ALLIER;Mathématiques;99.8;245.9;46.5;14.2;20.7;23.4;18.3;11.6;11.9
2023;AUDE;Mathématiques;99.9;244.5;44.9;13.6;22.0;24.5;18.3;11.5;10.1
2023;CORSE-DU-SUD;Mathématiques;102.7;242.9;49.7;16.1;22.1;23.8;16.6;10.1;11.3
2023;ESSONNE;Mathématiques;109.1;244.2;51.3;17.8;21.9;20.6;15.8;10.4;13.6
2023;EURE-ET-LOIR;Mathématiques;103.8;244.9;43.8;13.5;22.1;23.6;18.5;11.4;10.9
2023;FINISTERE;Mathématiques;110.7;257.6;45.6;7.8;16.2;23.3;21.0;15.3;16.3
2023;GUADELOUPE;Mathématiques;96.8;221.6;43.2;32.3;26.3;19.3;11.2;6.3;4.6
2023;HAUT-RHIN;Mathématiques;100.2;252.1;47.8;11.8;18.6;22.3;18.5;13.4;15.3
2023;HAUTE SAVOIE;Mathématiques;111.4;261.4;50.0;8.7;14.8;21.0;20.2;15.2;20.1
2023;HAUTE-VIENNE;Mathématiques;105.2;249.4;46.1;11.7;20.2;22.5;19.4;12.8;13.4
2023;HERAULT;Mathématiques;107.6;249.1;48.7;13.2;19.9;22.9;17.8;12.3;13.9
2023;ISERE;Mathématiques;111.3;255.9;51.0;11.3;17.0;21.5;19.0;13.5;17.8
2023;LA REUNION;Mathématiques;88.3;229.2;44.6;26.7;26.5;19.6;13.1;7.0;7.2
2023;LOIRE-ATLANTIQUE;Mathématiques;115.1;262.3;51.6;8.9;15.1;19.9;19.5;15.4;21.2
2023;MEURTHE-ET-MOSELLE;Mathématiques;104.1;254.0;50.2;11.6;17.6;23.2;18.5;11.9;17.2
2023;NATIONAL;Mathématiques;105.9;250.0;50.0;14.1;19.1;21.5;17.9;12.3;15.1
2023;ORNE;Mathématiques;98.6;245.8;44.6;13.3;21.1;23.9;18.7;12.3;10.8
2023;POLYNESIE FRANCAISE;Mathématiques;88.8;225.0;42.0;28.1;29.6;20.1;10.6;5.8;5.8
2023;SEINE-SAINT-DENIS;Mathématiques;92.8;229.6;44.3;25.4;25.9;21.0;13.1;7.5;7.0
2023;TARN-ET-GARONNE;Mathématiques;100.5;245.8;47.2;14.8;19.9;23.3;18.6;11.6;11.9
2023;ALLIER;Français;99.8;247.6;46.4;13.7;19.6;22.3;18.6;12.6;13.3
2023;ALPES-DE-HAUTE-PROVENCE;Français;106.8;250.9;48.5;12.7;18.8;21.3;18.5;14.7;14.0
2023;BAS-RHIN;Français;104.7;253.1;50.1;13.8;16.1;19.8;19.1;14.1;17.3
2023;CHARENTE-MARITIME;Français;107.0;251.6;46.9;12.9;17.0;21.6;19.4;14.2;14.9
2023;DOUBS;Français;100.4;250.6;46.1;13.1;17.4;21.5;20.2;13.2;14.6
2023;DROME;Français;105.5;252.7;48.5;13.0;16.6;20.9;18.6;14.9;16.1
