Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NORMANDIE,NORMANDIE,CALVADOS,ARGENCES,0140072C,COLLEGE,JEAN CASTEL,PUBLIC,539,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,BAYEUX,0141860W,COLLEGE PRIVE,INSTITUTION JEANNE D ARC,PRIVE,637,1,0,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CABOURG,0141812U,COLLEGE PRIVE,SAINT LOUIS,PRIVE,195,1,0,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CAEN,0140015R,COLLEGE,PASTEUR,PUBLIC,448,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CAEN,0140024A,COLLEGE,VILLEY DESMESERETS,PUBLIC,488,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CAEN,0141596J,COLLEGE,JEAN MOULIN,PUBLIC,512,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CAEN,0141816Y,COLLEGE,JACQUES MONOD,PUBLIC,541,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,COURSEULLES-SUR-MER,0140041U,COLLEGE,QUINTEFEUILLE,PUBLIC,449,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,CREULLY SUR SEULLES,0140042V,COLLEGE,JEAN DE LA VARENDE,PUBLIC,398,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,DOUVRES-LA-DELIVRANDE,0141216W,COLLEGE PRIVE,MAITRISE NOTRE-DAME,PRIVE,735,1,0,0
2022,NORMANDIE,NORMANDIE,CALVADOS,EVRECY,0140051E,COLLEGE,PAUL VERLAINE,PUBLIC,650,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,HEROUVILLE-SAINT-CLAIR,0141166S,COLLEGE PRIVE,SAINT-MICHEL,PRIVE,192,1,0,0
2022,NORMANDIE,NORMANDIE,CALVADOS,LISIEUX,0141766U,COLLEGE,MARCEL GAMBIER,PUBLIC,636,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,ORBEC,0140073D,COLLEGE,LOTTIN DE LAVAL,PUBLIC,305,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,PONT-L'EVEQUE,0140075F,COLLEGE,GUSTAVE FLAUBERT,PUBLIC,497,0,1,0
2022,NORMANDIE,NORMANDIE,CALVADOS,SAINT-MARTIN-DE-FONTENAY,0140068Y,COLLEGE,GUY DE MAUPASSANT,PUBLIC,650,0,1,0
