Matiere,Departement,Insuffisant,moyen,bon,Niveau
Mathématiques,Ardennes,34.900000000000006,38.2,26.9,6 ème
Mathématiques,Aube,35.2,36.8,28.0,6 ème
Mathématiques,Charente,33.3,37.0,29.700000000000003,6 ème
Mathématiques,Correze,28.0,37.5,34.5,6 ème
Mathématiques,Dordogne,31.299999999999997,38.8,30.0,6 ème
Mathématiques,Doubs,27.2,38.5,34.3,6 ème
Mathématiques,Essonne,35.8,35.5,28.6,6 ème
Mathématiques,Guyane,80.7,14.0,5.300000000000001,6 ème
Mathématiques,Haute-Loire,25.4,39.6,35.0,6 ème
Mathématiques,Haute-Saone,28.8,40.0,31.2,6 ème
Mathématiques,Hauts-De-Seine,22.3,31.5,46.2,6 ème
Mathématiques,Indre-Et-Loire,27.0,37.2,35.8,6 ème
Mathématiques,La-Reunion,48.8,31.9,19.4,6 ème
Mathématiques,Landes,23.700000000000003,38.4,38.0,6 ème
Mathématiques,Loire,30.5,38.3,31.299999999999997,6 ème
Mathématiques,Lot,22.8,40.3,37.0,6 ème
Mathématiques,Nord,35.1,36.1,28.8,6 ème
Mathématiques,Paris,20.3,29.6,50.099999999999994,6 ème
Mathématiques,Pas-De-Calais,36.8,37.5,25.8,6 ème
Mathématiques,Puy-De-Dome,25.5,36.3,38.1,6 ème
Mathématiques,Saint-Martin,73.5,19.6,6.9,6 ème
Mathématiques,Savoie,23.7,36.9,39.4,6 ème
Mathématiques,Territoire-De-Belfort,27.6,36.5,35.9,6 ème
Mathématiques,Var,30.1,38.1,31.9,6 ème
Mathématiques,Vaucluse,34.0,38.3,27.8,6 ème
Français,Alpes-Maritimes,25.3,40.0,34.9,6 ème
Français,Andorre,35.5,45.8,18.8,6 ème
Français,Aveyron,22.9,42.6,34.4,6 ème
Français,Charente-Maritime,25.4,40.8,33.8,6 ème
Français,Cotes-D'Armor,24.6,41.6,33.7,6 ème
Français,Deux-Sevres,27.9,41.400000000000006,30.6,6 ème
Français,Manche,29.9,41.599999999999994,28.6,6 ème
Français,Mayenne,28.7,44.0,27.200000000000003,6 ème
Français,Nord,31.4,39.5,29.0,6 ème
Français,Oise,28.1,41.6,30.3,6 ème
Français,Orne,35.4,40.8,23.8,6 ème
Français,Saint-Barthelemy,21.4,38.099999999999994,40.4,6 ème
Français,Seine-Maritime,31.6,40.1,28.3,6 ème
Français,Yonne,32.0,42.0,26.0,6 ème
Mathématiques,Ain,27.200000000000003,37.6,35.2,6 ème
Mathématiques,Alpes-De-Haute-Provence,31.0,39.8,29.2,6 ème
Mathématiques,Alpes-Maritimes,29.1,36.6,34.3,6 ème
Mathématiques,Aude,31.5,39.0,29.5,6 ème
Mathématiques,Bouches-Du-Rhone,33.5,36.1,30.4,6 ème
Mathématiques,Creuse,35.0,36.9,28.1,6 ème
Mathématiques,Finistere,24.5,39.2,36.4,6 ème
Mathématiques,Herault,30.0,36.3,33.8,6 ème
Mathématiques,Ille-Et-Vilaine,25.5,35.5,39.0,6 ème
Mathématiques,Loiret,33.7,37.7,28.6,6 ème
Mathématiques,Marne,33.5,36.5,30.1,6 ème
Mathématiques,Mayenne,31.2,39.5,29.4,6 ème
Mathématiques,Mayotte,90.0,7.800000000000001,2.0,6 ème
Mathématiques,Meurthe-Et-Moselle,29.9,36.5,33.6,6 ème
Mathématiques,Pyrenees-Atlantiques,23.5,37.900000000000006,38.5,6 ème
Mathématiques,Pyrenees-Orientales,36.599999999999994,37.400000000000006,26.1,6 ème
Mathématiques,Saone-Et-Loire,32.6,37.6,29.700000000000003,6 ème
Mathématiques,Seine-Maritime,36.099999999999994,37.099999999999994,26.700000000000003,6 ème
Mathématiques,St-Pierre-Et-Miquelon,36.2,34.7,29.0,6 ème
Mathématiques,Vienne,32.0,36.1,32.0,6 ème
Mathématiques,Vosges,29.6,38.2,32.2,6 ème
Mathématiques,Yonne,36.3,38.900000000000006,24.799999999999997,6 ème
Mathématiques,Yvelines,24.5,33.7,41.8,6 ème
Français,Alpes-De-Haute-Provence,25.4,42.400000000000006,32.2,6 ème
Français,Ardeche,25.4,40.7,33.9,6 ème
Français,Ardennes,31.6,42.4,26.0,6 ème
Français,Charente,29.8,40.6,29.5,6 ème
Français,Cher,30.700000000000003,39.8,29.5,6 ème
Français,Eure,32.4,40.8,26.7,6 ème
Français,Finistere,20.0,42.599999999999994,37.400000000000006,6 ème
Français,Gironde,22.200000000000003,37.5,40.3,6 ème
Français,Haut-Rhin,26.3,42.099999999999994,31.6,6 ème
Français,Haute-Marne,31.0,43.099999999999994,25.7,6 ème
Français,Haute-Saone,26.5,43.6,29.9,6 ème
Français,Haute-Vienne,25.0,40.7,34.3,6 ème
Français,Hauts-De-Seine,17.299999999999997,33.4,49.2,6 ème
Français,La-Reunion,37.9,37.7,24.4,6 ème
Français,Lot,21.4,38.2,40.4,6 ème
Français,Marne,28.099999999999998,40.1,31.9,6 ème
Français,National,27.200000000000003,39.3,33.5,6 ème
Français,Pas-De-Calais,34.2,42.0,23.8,6 ème
Français,Pyrenees-Atlantiques,21.0,40.900000000000006,38.2,6 ème
Français,Rhone,23.1,36.900000000000006,40.0,6 ème
Français,Saone-Et-Loire,27.299999999999997,42.5,30.2,6 ème
Français,Savoie,21.4,39.0,39.599999999999994,6 ème
Français,Somme,32.6,41.0,26.5,6 ème
Français,Territoire-De-Belfort,25.799999999999997,41.5,32.7,6 ème
Français,Vienne,28.0,39.8,32.3,6 ème
Mathématiques,Ariege,31.799999999999997,37.0,31.1,6 ème
Mathématiques,Bas-Rhin,28.1,35.5,36.400000000000006,6 ème
Mathématiques,Cote-D'Or,25.700000000000003,37.7,36.6,6 ème
Mathématiques,Cotes-D'Armor,28.2,38.9,32.9,6 ème
Mathématiques,Deux-Sevres,31.2,38.0,30.9,6 ème
Mathématiques,Gard,32.5,37.9,29.6,6 ème
Mathématiques,Gers,24.3,37.0,38.7,6 ème
Mathématiques,Guadeloupe,52.099999999999994,31.2,16.8,6 ème
Mathématiques,Haute-Corse,34.7,38.4,26.9,6 ème
Mathématiques,Indre,32.0,40.2,27.799999999999997,6 ème
Mathématiques,Lozere,24.299999999999997,38.0,37.599999999999994,6 ème
Mathématiques,Martinique,49.3,32.2,18.5,6 ème
Mathématiques,Morbihan,27.6,39.6,32.8,6 ème
Mathématiques,Moselle,30.299999999999997,36.8,33.0,6 ème
Mathématiques,Orne,38.0,38.3,23.6,6 ème
Mathématiques,Polynesie-Francaise,59.0,27.5,13.6,6 ème
Mathématiques,Rhone,27.8,34.4,37.8,6 ème
Mathématiques,Saint-Barthelemy,18.8,36.5,44.7,6 ème
Mathématiques,Seine-Et-Marne,34.0,37.9,28.2,6 ème
Mathématiques,Vendee,25.4,38.6,36.0,6 ème
Français,Ain,24.2,39.900000000000006,35.9,6 ème
Français,Allier,28.3,43.0,28.8,6 ème
