Secteur_D_Enseignement,Libelle_Departement,Inscrits,Presents,Admis,Admis_Sans_Mention,Nombre_D_Admis_Mention_Ab,Admis_Mention_Bien,Admis_Mention_Tres_Bien,PRIVE,PUBLIC
PRIVE,Ain,1569,1569,1520,183,359,525,453,14,0
PUBLIC,Ain,7064,7018,6020,1126,1409,1707,1778,0,51
PUBLIC,Aisne,5574,5508,4666,1275,1183,1029,1179,0,57
PRIVE,Aisne,807,804,781,101,153,236,291,14,0
PUBLIC,Allier,2955,2928,2519,589,614,599,717,0,37
PRIVE,Allier,364,363,350,49,66,110,125,6,0
PUBLIC,Alpes-De-Hte-Provence,1578,1564,1324,352,339,330,303,0,19
PRIVE,Alpes-De-Hte-Provence,150,149,145,21,30,46,48,2,0
PUBLIC,Alpes-Maritimes,9954,9847,8988,2598,2105,1958,2327,0,72
PRIVE,Alpes-Maritimes,2010,2007,1998,171,365,614,848,19,0
PUBLIC,Ardeche,2632,2616,2276,513,597,600,566,0,26
PRIVE,Ardeche,1176,1172,1112,189,303,335,285,13,0
PUBLIC,Ardennes,2454,2421,2017,538,408,469,602,0,35
PRIVE,Ardennes,463,462,456,65,90,164,137,5,0
PUBLIC,Ariege,1396,1385,1222,292,303,299,328,0,14
PRIVE,Ariege,189,189,182,44,39,54,45,3,0
PUBLIC,Aube,3025,3003,2533,612,574,589,758,0,25
PRIVE,Aube,580,579,557,72,89,199,197,9,0
PUBLIC,Aude,3435,3358,2869,673,734,722,740,0,28
PRIVE,Aude,433,433,415,74,105,122,114,5,0
PUBLIC,Aveyron,1896,1887,1747,386,426,441,494,0,21
PRIVE,Aveyron,1052,1049,986,195,240,266,285,20,0
PUBLIC,Bas-Rhin,11231,11069,9464,1709,2206,2309,3240,0,89
PRIVE,Bas-Rhin,1658,1657,1622,107,228,480,807,12,0
PUBLIC,Bouches-Du-Rhone,19448,19057,15686,4163,3873,3796,3854,0,136
PRIVE,Bouches-Du-Rhone,5144,5134,5017,490,920,1518,2089,53,0
PUBLIC,Calvados,6060,6017,5250,1227,1190,1311,1522,0,58
PRIVE,Calvados,1646,1640,1596,234,326,517,519,19,0
PUBLIC,Cantal,1116,1115,1045,243,238,247,317,0,22
PRIVE,Cantal,196,196,185,30,45,58,52,5,0
PUBLIC,Charente,2941,2928,2496,563,610,630,693,0,38
PRIVE,Charente,565,565,547,69,135,150,193,7,0
PRIVE,Charente-Maritime,788,788,766,85,169,226,286,10,0
PUBLIC,Charente-Maritime,6038,5998,5196,1106,1303,1300,1487,0,51
PRIVE,Cher,299,299,287,51,62,63,111,4,0
PUBLIC,Cher,2579,2554,2202,553,536,525,588,0,26
PUBLIC,Correze,2158,2148,1850,537,413,448,452,0,25
PRIVE,Correze,342,341,313,80,86,86,61,5,0
PUBLIC,Corse-Du-Sud,1441,1424,1264,245,366,298,355,0,14
PRIVE,Corse-Du-Sud,106,106,95,9,36,31,19,1,0
PUBLIC,Cote-D-Or,4592,4567,4113,1098,967,947,1101,0,47
PRIVE,Cote-D-Or,949,947,931,144,189,312,286,7,0
PUBLIC,Cotes-D-Armor,4483,4454,3972,799,919,1025,1229,0,47
PRIVE,Cotes-D-Armor,2391,2388,2260,296,515,660,789,32,0
PUBLIC,Creuse,995,993,883,222,209,228,224,0,18
PUBLIC,Deux-Sevres,3140,3121,2756,532,727,748,749,0,36
PRIVE,Deux-Sevres,962,961,899,131,230,302,236,13,0
PRIVE,Dordogne,510,509,475,78,131,145,121,8,0
PUBLIC,Dordogne,3455,3429,2910,651,692,758,809,0,38
PUBLIC,Doubs,5254,5205,4511,991,984,1159,1377,0,44
PRIVE,Doubs,1138,1135,1084,200,229,370,285,17,0
PUBLIC,Drome,4592,4551,3811,911,920,977,1003,0,37
PRIVE,Drome,1520,1518,1431,207,368,442,414,14,0
PUBLIC,Essonne,15400,15296,13072,3742,3185,2858,3287,0,100
PRIVE,Essonne,2514,2510,2473,268,499,764,942,20,0
PRIVE,Eure,937,936,891,155,197,267,272,11,0
PUBLIC,Eure,6406,6382,5437,1534,1296,1248,1359,0,55
PUBLIC,Eure-Et-Loir,4474,4448,3745,1000,944,950,851,0,38
PRIVE,Eure-Et-Loir,921,920,879,147,204,276,252,10,0
PUBLIC,Finistere,5774,5751,5280,809,1190,1486,1795,0,61
